county,date,channel,n
Accomack County,2020-09-17,In-Person,0
Accomack County,2020-09-17,Mail,0
Accomack County,2020-09-18,In-Person,212
Accomack County,2020-09-18,Mail,0
Accomack County,2020-09-19,In-Person,0
Accomack County,2020-09-19,Mail,0
Accomack County,2020-09-20,In-Person,0
Accomack County,2020-09-20,Mail,0
Accomack County,2020-09-21,In-Person,192
Accomack County,2020-09-21,Mail,0
Accomack County,2020-09-22,In-Person,249
Accomack County,2020-09-22,Mail,23
Accomack County,2020-09-23,In-Person,182
Accomack County,2020-09-23,Mail,71
Accomack County,2020-09-24,In-Person,171
Accomack County,2020-09-24,Mail,107
Accomack County,2020-09-25,In-Person,206
Accomack County,2020-09-25,Mail,105
Accomack County,2020-09-26,In-Person,0
Accomack County,2020-09-26,Mail,0
Accomack County,2020-09-27,In-Person,0
Accomack County,2020-09-27,Mail,0
Accomack County,2020-09-28,In-Person,156
Accomack County,2020-09-28,Mail,86
Accomack County,2020-09-29,In-Person,149
Accomack County,2020-09-29,Mail,120
Accomack County,2020-09-30,In-Person,140
Accomack County,2020-09-30,Mail,94
Accomack County,2020-10-01,In-Person,134
Accomack County,2020-10-01,Mail,80
Accomack County,2020-10-02,In-Person,181
Accomack County,2020-10-02,Mail,62
Accomack County,2020-10-03,In-Person,0
Accomack County,2020-10-03,Mail,0
Accomack County,2020-10-04,In-Person,0
Accomack County,2020-10-04,Mail,0
Accomack County,2020-10-05,In-Person,161
Accomack County,2020-10-05,Mail,123
Accomack County,2020-10-06,In-Person,144
Accomack County,2020-10-06,Mail,33
Accomack County,2020-10-07,In-Person,169
Accomack County,2020-10-07,Mail,63
Accomack County,2020-10-08,In-Person,150
Accomack County,2020-10-08,Mail,46
Accomack County,2020-10-09,In-Person,168
Accomack County,2020-10-09,Mail,47
Accomack County,2020-10-10,In-Person,0
Accomack County,2020-10-10,Mail,0
Accomack County,2020-10-11,In-Person,0
Accomack County,2020-10-11,Mail,0
Accomack County,2020-10-12,In-Person,0
Accomack County,2020-10-12,Mail,31
Accomack County,2020-10-13,In-Person,175
Accomack County,2020-10-13,Mail,0
Accomack County,2020-10-14,In-Person,267
Accomack County,2020-10-14,Mail,93
Accomack County,2020-10-15,In-Person,192
Accomack County,2020-10-15,Mail,101
Accomack County,2020-10-16,In-Person,173
Accomack County,2020-10-16,Mail,78
Accomack County,2020-10-17,In-Person,0
Accomack County,2020-10-17,Mail,0
Accomack County,2020-10-18,In-Person,0
Accomack County,2020-10-18,Mail,32
Accomack County,2020-10-19,In-Person,185
Accomack County,2020-10-19,Mail,76
Accomack County,2020-10-20,In-Person,161
Accomack County,2020-10-20,Mail,17
Accomack County,2020-10-21,In-Person,182
Accomack County,2020-10-21,Mail,69
Accomack County,2020-10-22,In-Person,194
Accomack County,2020-10-22,Mail,37
Accomack County,2020-10-23,In-Person,260
Accomack County,2020-10-23,Mail,47
Accomack County,2020-10-24,In-Person,166
Accomack County,2020-10-24,Mail,35
Accomack County,2020-10-25,In-Person,0
Accomack County,2020-10-25,Mail,0
Accomack County,2020-10-26,In-Person,286
Accomack County,2020-10-26,Mail,69
Accomack County,2020-10-27,In-Person,313
Accomack County,2020-10-27,Mail,9
Accomack County,2020-10-28,In-Person,291
